store_id,amount
0,40.1746965950105
1,33.97152685032808
2,2007226.9729129502
4,41.08609399911768
5,2007226.9729129502
6,2007226.9729129502
7,2007226.9729129502
8,2007226.9729129502
9,2007226.9729129502
10,39.16089457508496
11,2007226.9729129502
12,2007226.9729129502
13,40.73821342340829
14,45.922398130860955
15,2007226.9729129502
16,2007226.9729129502
17,37.270093849540416
18,2007226.9729129502
19,42.508101099394636
20,2007226.9729129502
22,35.97610854754228
23,2007226.9729129502
24,2007226.9729129502
25,2007226.9729129502
26,2007226.9729129502
27,42.857797017653446
28,42.022865405861545
29,41.09736564124989
30,2007226.9729129502
31,39.737832782355056
32,2007226.9729129502
33,2007226.9729129502
34,2007226.9729129502
35,2007226.9729129502
36,44.27289286618791
37,42.468789031070166
38,2007226.9729129502
40,2007226.9729129502
41,43.45737807061337
42,2007226.9729129502
43,2007226.9729129502
45,2007226.9729129502
46,45.376846342117105
47,41.43671302661726
48,41.1576618636365
49,2007226.9729129502
50,41.18365992816466
51,41.220104138266734
52,2007226.9729129502
53,2007226.9729129502
54,2007226.9729129502
55,2007226.9729129502
57,2007226.9729129502
58,39.42743023557128
59,44.964372258755056
60,2007226.9729129502
61,2007226.9729129502
62,2007226.9729129502
64,2007226.9729129502
66,2007226.9729129502
67,2007226.9729129502
68,2007226.9729129502
69,2007226.9729129502
70,44.33632996063517
71,2007226.9729129502
72,2007226.9729129502
73,2007226.9729129502
74,2007226.9729129502
75,2007226.9729129502
76,45.59741660040503
77,39.57069459046696
78,40.76759086788955
79,36.580105353560896
80,38.89463929107911
81,2007226.9729129502
82,40.79468482688716
83,42.72889713283908
84,2007226.9729129502
85,2007226.9729129502
86,2007226.9729129502
87,2007226.9729129502
88,2007226.9729129502
89,40.88190034968862
90,2007226.9729129502
91,2007226.9729129502
92,42.17713816380878
93,2007226.9729129502
94,2007226.9729129502
95,2007226.9729129502
96,2007226.9729129502
97,2007226.9729129502
98,41.0431086537048
99,2007226.9729129502
100,2007226.9729129502
101,2007226.9729129502
102,38.441533990471086
103,37.8238304454145
104,43.45508516688539
105,2007226.9729129502
106,2007226.9729129502
107,2007226.9729129502
108,2007226.9729129502
