store_id,amount
0,2007226.9729129502
1,288621.0222547909
2,1276695.1325614918
4,2697648.898493835
5,646542.8571428572
6,7377000.0
7,601955.6757607347
8,3894985.714285714
9,1478837.4384236452
10,1690866.9841351002
11,1604770.892013568
12,1093309.4962944828
13,2706851.360428904
14,12315454.004015125
15,2248457.1428571427
16,644142.8571428572
17,818850.5925606419
18,1083880.4090244262
19,4215966.0659340685
20,5277087.500775406
22,629458.2840713314
23,1850166.7025714498
24,5346578.815561673
25,303942.85714285704
26,941953.0073521929
27,5320007.04654542
28,3616356.1500740126
29,2945371.3575833254
30,403971.42857142864
31,2065426.9314714668
32,417887.53246753244
33,2832000.0
34,1739360.6336822105
35,2218807.7112507946
36,14610461.2987013
37,4321368.749999999
38,1015058.9528008134
40,2660834.34428256
41,5671376.956844067
42,1333340.3149202326
43,1320128.5714285714
45,1382782.1499498412
46,15482715.04991116
47,2795167.549756464
48,2730742.8647837956
49,221586.62337662344
50,3375994.017811292
51,2797221.161895029
52,383536.87050665927
53,990174.4841880822
54,3509517.1571335136
55,1655675.6493506497
57,24699576.46776568
58,1591554.5454545456
59,10082556.753246754
60,1045169.1741487241
61,473460.00497798674
62,18614775.409162924
64,13206671.070696902
66,2001189.3918502575
67,952570.0480594719
68,2693914.285714286
69,200667.42113972962
70,6769252.328546129
71,2515903.896103896
72,6606500.0
73,567626.4448359645
74,259703.76623376622
75,1895030.8351895479
76,11304328.19686898
77,1302029.5714285714
78,2341926.4676336264
79,623635.2865446514
80,1154288.5671263495
81,1293857.142857143
82,2439703.548642816
83,5048529.350649351
84,2845285.7142857146
85,886611.6883116886
86,23461168.94546949
87,1331205.313257938
88,1623013.1392407005
89,2436160.065963139
90,3114650.394777814
91,2017421.952313946
92,3490312.73321488
93,12891926.49489796
94,3747574.25880676
95,9827829.511837544
96,3658478.146980393
97,1117761.2466628049
98,2498950.4143528724
99,1197428.5714285714
100,255895.7992196399
101,2074629.9316303674
102,914057.1428571427
103,917246.5724631086
104,6260796.824857869
105,1781415.5844155846
106,178606.49350649354
107,618818.5301777999
108,3809217.8571428577
109,2547627.2727272734
110,4216393.267362542
111,4605.019541885001
112,4042613.075471248
113,11186918.11688086
114,1782848.839143735
115,819000.0
116,79973.2879475152
117,2476473.824784185
118,463985.81275785674
119,20602231.66440084
120,3362682.703202041
121,542571.4285714286
122,803994.3194057993
123,610759.1791942369
125,416668.37684110977
126,5901253.804188248
127,4132787.857142858
128,7610268.123978835
129,642885.7176659316
130,2991857.1428571427
131,1769114.4545454544
132,3152453.869638423
133,390623.13622815214
134,628904.7699815205
136,3821412.6204331173
137,5546787.790506288
138,366913.5947233642
139,1828038.9610389608
141,5807454.370317395
142,5395913.229322608
143,1946287.7816073687
144,685924.7448979589
145,15637555.778088372
146,5987317.886254514
148,521277.51300393883
149,1856266.041773118
150,2636260.3507621987
151,973415.5844155845
152,5036594.890476529
153,102857.14285714284
154,14650497.13270075
156,2300772.8571428573
157,898285.7142857143
159,1026226.2813510948
160,998181.3884048143
161,483686.81145533035
162,113142.85714285704
164,6786027.693592108
165,757390.0000000002
166,317749.103896104
167,3488547.783105608
168,149571.42857142852
169,4071548.040536489
170,1478255.4107817446
171,679779.2207792208
172,3762483.8701298707
173,3253920.6637371723
174,317476.8404718945
175,444857.14285714284
176,558227.7341718788
177,1055621.7485672408
178,6254113.18276687
179,2977285.714285714
180,8148235.872360914
181,2322568.8311688313
182,6844869.480854653
183,6476500.860244421
184,2062259.7402597405
185,4944943.493506494
186,362222.59252058994
187,1299363.6363636367
188,1508649.6149573997
189,2716714.2857142854
190,17582094.025974028
192,1710077.9220779226
193,1115817.5324675324
194,3539547.0414208896
195,4048879.441717542
196,5220832.426701259
197,957128.5714285715
198,13513763.693760194
199,2179073.97006951
200,10047640.586176224
201,1643361.2892010175
202,1182964.7252121759
203,584604.6782641137
204,4707032.312874338
205,2675571.428571429
206,2850334.2015191424
207,4187786.949962577
208,3572636.734695009
209,1683931.9304292263
210,3083942.0415577968
211,1088194.909090909
212,500142.85714285716
213,5882613.506493508
214,318076.5841690332
215,470279.916235256
216,4616645.188091923
217,1549365.8185279937
218,1232722.6948960864
219,4670101.877520886
221,3670736.8311688313
222,1983116.8831168828
223,2074285.7142857146
224,1015686.5855394942
225,3158301.376855425
226,3371420.909087558
227,1037258.9153793065
228,1320508.6354294172
229,4040785.714285714
230,1022727.6623307331
231,1821657.1108116463
232,969428.5714285715
233,236828.57142857142
234,1191573.388691632
235,704115.1175355561
236,1635884.4018315752
237,1491385.4211790396
238,2274603.896103896
239,16172818.665954517
240,789530.0159865964
241,2615938.902047638
243,6770998.16883117
245,1123547.7303534434
246,7531252.272237789
247,11270968.785888668
248,2163751.021576388
249,2476015.825363087
250,3336816.5916982424
251,146545.96733579307
252,1656763.2837644257
253,4728113.636363637
254,1287901.525929282
255,894224.251814943
256,3801882.2894392246
257,749443.3021351206
258,554532.4675324677
259,15537267.653761154
260,835897.4025974027
262,2390957.278268797
264,4479711.417456823
265,242144.15584415584
266,1206336.261570577
267,949533.4079786038
268,1027714.2857142857
269,803287.0129870131
270,10658905.962502167
271,4398639.965954544
